campus_id,school_level,total_students,economic_disadvantage,homeless,foster_care,migrant,ell,academic_underperformance,incarceration_delinquency,teen_pregnancy,chronic_absenteeism,X..Attendance
Akins Early College High School,high school,2345,1460,52,9,1,863,1669,50,3,11.39,88.61
Allison Elementary,elementary school,368,200,9,3,0,140,172,0,0,6.23,93.77
Alternative Learning Center,special,122,100,6,1,0,44,160,32,0,23.22,76.78
Anderson High School,high school,2159,600,23,3,0,292,962,33,0,6.1,93.9
Andrews Elementary,elementary school,312,200,10,0,0,243,129,0,0,4.98,95.02
Ann Richards School for Young Women Leaders,special,908,200,5,3,0,164,202,2,0,2.08,97.92
Austin High School,high school,2265,590,11,4,0,222,815,29,0,4.78,95.22
Austin ISD PreK Partnership PKP,special,184,50,9,2,0,52,0,0,0,15.31,84.69
Austin State Hospital,special,23,5,0,0,0,0,1,2,0,0,100
Bailey Middle School,middle school,769,300,7,1,0,86,368,2,0,3.13,96.87
Baldwin Elementary,elementary school,580,100,4,0,0,79,55,1,0,1.78,98.22
Baranoff Elementary,elementary school,807,150,3,2,0,55,101,0,0,1.86,98.14
Barrington Elementary,elementary school,391,300,33,1,0,283,141,0,0,4.68,95.32
Barton Hills Elementary,elementary school,286,50,1,0,0,5,24,0,0,1.32,98.68
Bear Creek Elementary,elementary school,523,150,2,1,0,87,57,0,0,1.62,98.38
Becker Elementary,elementary school,508,300,3,0,0,252,107,0,0,2.16,97.84
Bedichek Middle School,middle school,639,400,24,1,1,305,430,11,0,6.66,93.34
Bertha Sadler Means Young Women's Leadership Academy,middle school,264,200,9,1,1,172,197,0,2,6.4,93.6
Blackshear Elementary,elementary school,205,50,6,1,0,10,46,0,0,4.33,95.67
Blanton Elementary,elementary school,739,335,16,0,0,236,158,0,0,3.77,96.23
Blazier Elementary,elementary school,1270,695,27,3,0,394,408,2,0,3.68,96.32
Boone Elementary,elementary school,423,154,2,3,0,47,81,0,0,2.57,97.43
Bowie High School,high school,2850,433,21,3,0,174,707,64,0,3.43,96.57
Brentwood Elementary,elementary school,683,101,5,0,0,26,86,0,0,2.03,97.97
Bryker Woods Elementary,elementary school,283,35,1,2,0,18,31,0,0,1.72,98.28
Burnet Middle School,middle school,795,714,31,1,0,613,588,20,0,6.89,93.11
Campbell Elementary,elementary school,188,121,17,0,0,30,57,1,0,5.21,94.79
